Names,Names2,A1,A2,A3,A4,A5,A6,A7,A8,Sample,Group,Names,,,
F_CentralAsia_China_SRR20326483.merge.CanFam31.bam,F_CentralAsia_China_SRR20326483_Xinjiang,0.179521363,0.005125586,0.008400164,0.010451833,1E-09,0.084330071,0.262861363,0.449309619,China_SRR20326483.merge.CanFam31.bam,CentralAsia,F_CentralAsia_China_SRR20326483_Xinjiang,merge,CanFam31,bam
F_CentralAsia_MW486.CanFam31.realigned.bam,F_CentralAsia_MW486_Russia,0.804056444,1E-09,0.017787131,1E-09,0.002121076,0.075459404,4.5398E-06,0.100571404,MW486.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_MW486_Russia,CanFam31,realigned,bam
G_EastAsia_China_SRR20326491.merge.CanFam31.bam,G_EastAsia_China_SRR20326491_Heilongjiang,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,China_SRR20326491.merge.CanFam31.bam,EastAsia,G_EastAsia_China_SRR20326491_Heilongjiang,merge,CanFam31,bam
G_EastAsia_China_SRR20326479.CanFam31.bam,G_EastAsia_China_SRR20326479_Sichuan,1E-09,1E-09,1E-09,0.061125542,0.507700131,1E-09,4.60708E-07,0.431173862,China_SRR20326479.CanFam31.bam,EastAsia,G_EastAsia_China_SRR20326479_Sichuan,CanFam31,bam,
G_EastAsia_MW574.CanFam31.realigned.bam,G_EastAsia_MW574_Mongolia,0.075150002,1E-09,1E-09,0.014809618,0.030078532,1E-09,0.016483007,0.863478838,MW574.CanFam31.realigned.bam,EastAsia,G_EastAsia_MW574_Mongolia,CanFam31,realigned,bam
G_EastAsia_Wang_GW4.CanFam31.realigned.bam,G_EastAsia_Wang_GW4_InnerMongolia,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,Wang_GW4.CanFam31.realigned.bam,EastAsia,G_EastAsia_Wang_GW4_InnerMongolia,CanFam31,realigned,bam
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,G_EastAsia_InnerMongoliaWolf_SAMN03168393,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia,G_EastAsia_InnerMongoliaWolf_SAMN03168393,CanFam31,realigned,bam
G_EastAsia_MW588.CanFam31.realigned.bam,G_EastAsia_MW588_Mongolia,0.126388352,1E-09,1E-09,0.003329587,1E-09,4.65862E-05,1E-09,0.870235471,MW588.CanFam31.realigned.bam,EastAsia,G_EastAsia_MW588_Mongolia,CanFam31,realigned,bam
G_EastAsia_MW561.CanFam31.realigned.bam,G_EastAsia_MW561_Mongolia,0.110019623,1E-09,0.020152795,1E-09,0.008069787,0.072987902,0.087238426,0.701531465,MW561.CanFam31.realigned.bam,EastAsia,G_EastAsia_MW561_Mongolia,CanFam31,realigned,bam
G_EastAsia_MW524.CanFam31.realigned.bam,G_EastAsia_MW524_Russia,0.068900189,1E-09,1E-09,1.11026E-06,1E-09,1E-09,1E-09,0.931098695,MW524.CanFam31.realigned.bam,EastAsia,G_EastAsia_MW524_Russia,CanFam31,realigned,bam
