A1,A2,A3,A4,A5,Sample,Names
1E-09,0.089010914,1E-09,0.694178643,0.216810441,Ellesmere1.CanFam31.realigned.bam,I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam
1E-09,0.088410641,1E-09,0.655954886,0.255634471,AlaskanWolf.CanFam31.realigned.bam,I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam
1E-09,0.155565823,1E-09,0.584383417,0.260050759,MexicanWolf.CanFam31.realigned.bam,I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,BerlinZoo.CanFam31.realigned.bam,A_A_Dhole_BerlinZoo.CanFam31.realigned.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,Ethiopian_wolf_B3.CanFam31.realigned.bam,A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,Syrian_jackal.CanFam31.realigned.bam,A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,KenyaJackal.CanFam31.realigned.bam,A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,ERR4372262_Morocco_Africanwolf.CanFam31.bam,A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,CRR010907_Algeria_Africanwolf.CanFam31.bam,A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam
1E-09,0.999999996,1E-09,1E-09,1E-09,Africanwolf_SRR8049196.CanFam31.bam,A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam
1E-09,0.830095811,1E-09,0.169904186,1E-09,CaliforniaCoyote.CanFam31.realigned.bam,A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam
1E-09,0.741297221,1E-09,0.187665192,0.071037586,SRR1518489_Coyote_Illinois.CanFam31.bam,A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam
1E-09,0.024084236,0.052002866,1E-09,0.923912897,Beagle_SRR7107976.CanFam31.bam,Z_Dog_Beagle_SRR7107976.CanFam31.bam
1E-09,0.026515736,0.048387359,1E-09,0.925096903,Dauchound_SRR7107971.CanFam31.bam,Z_Dog_Dauchound_SRR7107971.CanFam31.bam
1E-09,0.012392667,0.046648177,1E-09,0.940959154,SRR7107875_Airdale.CanFam31.bam,Z_Dog_SRR7107875_Airdale.CanFam31.bam
0.000000001,0.041168735,0.074892063,0.068093999,0.815845202,SharPei02.CanFam31.realigned.bam,Z_Dog_SharPei02.CanFam31.realigned.bam
1E-09,1E-09,0.644777754,0.355222243,1E-09,China_Sichuan_again_SRR20326479.CanFam31.bam,E_Tibetan_Sichuan
